sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name,property type,furnishing,status,transaction,facing,floor,ownership,area sqft
71,Vadodara,390020,4,5,7828,Akota,House,Furnished,Ready to Move,Resale,Other,,Other,2938
72,Vadodara,390020,4,5,5435,Akota,House,Semi-Furnished,Ready to Move,Resale,Other,,Other,2300
73,Vadodara,390020,2,3,4667,Akota Road,House,Semi-Furnished,Ready to Move,Resale,South - East,2.0,Other,1500
74,Vadodara,390020,2,3,6884,Akota Road,Flat,Furnished,Ready to Move,Resale,Other,2.0,Freehold,1075
75,Vadodara,390020,4,5,6038,Akota Road,House,Semi-Furnished,Ready to Move,Resale,East,,Freehold,1325
76,Vadodara,390020,4,5,9623,Akota Road,Villa,Furnished,Ready to Move,Resale,North - East,,Other,2650
77,Vadodara,390022,4,4,7941,Aksharvilla,House,Furnished,Ready to Move,Resale,Other,,Other,1700
78,Vadodara,390007,2,2,6780,Alkapuri,Flat,Furnished,Ready to Move,Resale,Other,3.0,Other,1180
79,Vadodara,390007,1,2,3737,Alkapuri,Flat,Semi-Furnished,Ready to Move,Resale,East,3.0,Other,950
80,Vadodara,390007,2,2,5294,Alkapuri,Flat,Unfurnished,Ready to Move,Resale,East,3.0,Freehold,850
81,Vadodara,390007,3,3,4114,Alkapuri,Flat,Unfurnished,Ready to Move,Resale,North - West,2.0,Other,1750
82,Vadodara,390007,3,3,5263,Alkapuri,Flat,Furnished,Ready to Move,Resale,South,2.0,Freehold,1520
83,Vadodara,390007,3,3,5000,Alkapuri,Flat,Unfurnished,Ready to Move,Resale,Other,3.0,Freehold,1300
84,Vadodara,390007,3,3,6400,Alkapuri,House,Semi-Furnished,Ready to Move,Resale,East,4.0,Freehold,1250
85,Vadodara,390007,3,3,8636,Alkapuri,Flat,Semi-Furnished,Ready to Move,Resale,Other,5.0,Freehold,1100
86,Vadodara,390007,3,3,5351,Alkapuri,Flat,Furnished,Ready to Move,Resale,Other,4.0,Other,1252
87,Vadodara,390007,4,4,9697,Alkapuri,Flat,Furnished,Ready to Move,Resale,East,3.0,Freehold,1650
88,Vadodara,390007,4,4,9029,Alkapuri,Flat,Unfurnished,Ready to Move,New,Other,,Other,1628
89,Vadodara,390007,4,4,8000,Alkapuri,Flat,Furnished,Ready to Move,Resale,East,4.0,Freehold,2000
90,Vadodara,390007,4,4,9929,Alkapuri,Flat,Unfurnished,Ready to Move,New,North,1.0,Freehold,2518
91,Vadodara,390022,3,3,2565,Amodar,House,Unfurnished,Unknown,Resale,Other,,Other,1185
92,Vadodara,390022,3,3,2569,Amodar,House,Furnished,Unknown,Resale,Other,,Other,1300
93,Vadodara,390022,2,2,7083,Anand Nagar,House,Semi-Furnished,Ready to Move,Resale,Other,,Other,360
94,Vadodara,390022,2,4,4545,Anandpura,House,Semi-Furnished,Ready to Move,Resale,Other,,Other,1210
95,Vadodara,390022,3,3,6087,Ananta Shubhlabh,House,Unfurnished,Ready to Move,Resale,Other,,Other,690
96,Vadodara,390022,3,3,7699,Ankhol,House,Unfurnished,Ready to Move,Resale,South,,Other,1130
97,Vadodara,390022,3,3,7089,Ankhol,House,Unfurnished,Ready to Move,Resale,East,2.0,Freehold,790
98,Vadodara,390022,3,3,4583,Ankhol,House,Semi-Furnished,Ready to Move,Resale,North,,Freehold,1200
99,Vadodara,390022,5,4,6476,Ankhol,Villa,Unfurnished,Unknown,New,Other,,Other,1714
100,Vadodara,390022,4,4,10000,Ankhol,House,Furnished,Ready to Move,Resale,Other,,Other,1050
101,Vadodara,390022,3,3,4096,Ashwamegh Nagar,Flat,Unfurnished,Ready to Move,Resale,Other,3.0,Other,1660
102,Vadodara,390022,2,2,3397,Atladara Bill Canal Road,Flat,Semi-Furnished,Ready to Move,Resale,West,3.0,Freehold,780
103,Vadodara,390012,1,1,3636,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,Other,3.0,Other,550
104,Vadodara,390012,1,1,3956,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,Other,3.0,Other,455
105,Vadodara,390012,2,2,3347,Atladra,Flat,Unfurnished,Ready to Move,Resale,East,4.0,Freehold,1195
106,Vadodara,390012,2,2,4222,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,East,4.0,Freehold,900
107,Vadodara,390012,2,2,4000,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,East,1.0,Freehold,750
108,Vadodara,390012,2,2,2762,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,Other,2.0,Freehold,1195
109,Vadodara,390012,2,2,4308,Atladra,Flat,Furnished,Ready to Move,Resale,East,3.0,Freehold,650
110,Vadodara,390012,2,2,5241,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,Other,4.0,Other,725
111,Vadodara,390012,2,2,4194,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,North - East,4.0,Leasehold,620
112,Vadodara,390012,2,2,4062,Atladra,Flat,Unfurnished,Ready to Move,Resale,North,2.0,Freehold,800
113,Vadodara,390012,2,2,3820,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,Other,3.0,Other,1178
114,Vadodara,390012,2,2,2348,Atladra,Flat,Unfurnished,Ready to Move,Resale,East,2.0,Other,1150
115,Vadodara,390012,2,2,3190,Atladra,Builder Floor,Unfurnished,Ready to Move,Resale,Other,3.0,Other,721
116,Vadodara,390012,2,2,3435,Atladra,Flat,Unfurnished,Ready to Move,Resale,Other,8.0,Other,1150
117,Vadodara,390012,2,2,3571,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,South -West,3.0,Freehold,700
118,Vadodara,390012,2,2,3766,Atladra,Flat,Unfurnished,Ready to Move,Resale,Other,5.0,Freehold,1195
119,Vadodara,390012,2,2,5294,Atladra,Flat,Furnished,Ready to Move,Resale,Other,2.0,Other,850
120,Vadodara,390012,2,2,5469,Atladra,Flat,Furnished,Ready to Move,Resale,Other,7.0,Other,640
121,Vadodara,390012,2,2,2486,Atladra,Flat,Unfurnished,Ready to Move,Resale,Other,9.0,Other,1207
122,Vadodara,390012,2,2,2947,Atladra,Builder Floor,Semi-Furnished,Ready to Move,Resale,Other,9.0,Other,950
123,Vadodara,390012,2,2,3400,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,West,2.0,Other,1000
