sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name,property type,furnishing,status,transaction,facing,floor,ownership,area sqft
2040,Vadodara,390022,2,2,3672,Khodiyar Nagar,Flat,Furnished,Ready to Move,Resale,Unknown,5.0,Unknown,1280
2041,Vadodara,390022,2,3,2388,New Kareli Baug,Flat,Unfurnished,Ready to Move,Resale,Unknown,3.0,Unknown,1340
2042,Vadodara,390022,3,3,8421,Harni,Flat,Unfurnished,Ready to Move,New Property,East,1.0,Freehold,1900
2043,Vadodara,390009,3,3,9929,Tarsali,House,Furnished,Ready to Move,Resale,East,,Freehold,1400
2044,Vadodara,390009,2,2,15000,Tarsali,House,Unfurnished,Ready to Move,Resale,Unknown,,Unknown,600
2045,Vadodara,390009,3,3,7960,Tarsali,Villa,Furnished,Ready to Move,Resale,West,,Freehold,2500
2046,Vadodara,390009,2,2,14091,Tarsali,House,Unfurnished,Ready to Move,Resale,East,,Freehold,1100
2047,Vadodara,390009,2,2,1969,Tarsali,Apartment,Semi-Furnished,Ready to Move,Resale,East,4.0,Unknown,904
2048,Vadodara,390009,4,4,12857,Tarsali,House,Unfurnished,Ready to Move,Resale,East,,Freehold,2100
2049,Vadodara,390009,1,1,6349,Tarsali,Penthouse,Semi-Furnished,Ready to Move,Resale,Unknown,4.0,Unknown,504
2050,Vadodara,390009,3,4,8231,Tarsali,House,Furnished,Ready to Move,Resale,Unknown,3.0,Unknown,1300
2051,Vadodara,390009,2,2,2222,Tarsali,Apartment,Semi-Furnished,Ready to Move,Resale,East,2.0,Freehold,1170
2052,Vadodara,390009,2,2,15972,Tarsali,House,Furnished,Ready to Move,Resale,Unknown,1.0,Co-operative Society,720
2053,Vadodara,390009,2,2,4110,Tarsali,Apartment,Furnished,Ready to Move,Resale,East,3.0,Co-operative Society,730
2054,Vadodara,390009,3,3,4251,Tarsali,Apartment,Unfurnished,Ready to Move,Resale,Unknown,7.0,Unknown,1035
2055,Vadodara,390009,3,3,4929,Tarsali,Apartment,Furnished,Ready to Move,Resale,Unknown,3.0,Unknown,1400
2056,Vadodara,390009,2,2,5498,Tarsali,Apartment,Semi-Furnished,Ready to Move,Resale,South - East,1.0,Freehold,582
2057,Vadodara,390009,4,5,6170,Tarsali,House,Semi-Furnished,Ready to Move,Resale,East,,Freehold,2350
2058,Vadodara,390009,1,1,3370,Tarsali,Apartment,Unfurnished,Ready to Move,Resale,Unknown,5.0,Unknown,460
2059,Vadodara,390009,4,3,10667,Tarsali,Villa,Semi-Furnished,Ready to Move,Resale,Unknown,,Freehold,1500
2060,Vadodara,390009,2,2,2654,Tarsali,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,3.0,Unknown,1055
2061,Vadodara,390009,2,2,3385,Tarsali,Apartment,Unfurnished,Ready to Move,Resale,Unknown,4.0,Unknown,650
2062,Vadodara,390009,2,3,4662,Tarsali,Apartment,Unfurnished,Ready to Move,Resale,Unknown,6.0,Unknown,622
2063,Vadodara,390009,2,2,2048,Tarsali,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,1050
2064,Vadodara,390009,2,2,5469,Tarsali,Apartment,Furnished,Unknown,Resale,Unknown,7.0,Freehold,640
